guid,title,pubDate,category,link,description
b'BILLS-116hr8361ih',b'H.R.\xc2\xa08361\xc2\xa0(IH) - EIDL Forgiveness Act',"b'Wed, 23 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8361ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8361ih/pdf/BILLS-116hr8361ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8361ih/xml/BILLS-116hr8361ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8361ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8361ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8361ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8347ih',b'H.R.\xc2\xa08347\xc2\xa0(IH) - Shell Company Abuse Act',"b'Tue, 22 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8347ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8347ih/pdf/BILLS-116hr8347ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8347ih/xml/BILLS-116hr8347ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8347ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8347ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8347ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8356ih',b'H.R.\xc2\xa08356\xc2\xa0(IH) - Combatting University Research Theft Act of 2020',"b'Wed, 23 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8356ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8356ih/pdf/BILLS-116hr8356ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8356ih/xml/BILLS-116hr8356ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8356ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8356ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8356ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8353ih',b'H.R.\xc2\xa08353\xc2\xa0(IH) - Women\xe2\x80\x99s Public Health and Safety Act',"b'Wed, 23 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8353ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8353ih/pdf/BILLS-116hr8353ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8353ih/xml/BILLS-116hr8353ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8353ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8353ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8353ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8355ih',b'H.R.\xc2\xa08355\xc2\xa0(IH) - Next Generation Nuclear Advancement Act of 2020',"b'Wed, 23 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8355ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8355ih/pdf/BILLS-116hr8355ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8355ih/xml/BILLS-116hr8355ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8355ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8355ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8355ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8362ih',"b'H.R.\xc2\xa08362\xc2\xa0(IH) - To require senior officials to report payments received from the Federal Government and to improve the filing and disclosure of financial disclosures by Members of Congress, congressional staff, and very senior employees.'","b'Wed, 23 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8362ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8362ih/pdf/BILLS-116hr8362ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8362ih/xml/BILLS-116hr8362ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8362ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8362ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8362ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8358ih',b'H.R.\xc2\xa08358\xc2\xa0(IH) - National Coronavirus Commission Act of 2020',"b'Wed, 23 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8358ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8358ih/pdf/BILLS-116hr8358ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8358ih/xml/BILLS-116hr8358ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8358ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8358ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8358ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8366ih',b'H.R.\xc2\xa08366\xc2\xa0(IH) - Protecting Homeowners in Bankruptcy Act of 2020',"b'Thu, 24 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8366ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8366ih/pdf/BILLS-116hr8366ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8366ih/xml/BILLS-116hr8366ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8366ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8366ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8366ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8360ih',b'H.R.\xc2\xa08360\xc2\xa0(IH) - Coronavirus Relief Fund Flexibility Act of 2020',"b'Wed, 23 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8360ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8360ih/pdf/BILLS-116hr8360ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8360ih/xml/BILLS-116hr8360ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8360ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8360ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8360ih.zip"">ZIP</a>\n '"
b'BILLS-116hr8359ih',b'H.R.\xc2\xa08359\xc2\xa0(IH) - PTC Elimination Act',"b'Wed, 23 Sep 2020 00:00:00 +0000'",b'Bills and Statutes',b'https://www.govinfo.gov/app/details/BILLS-116hr8359ih',"b' <h2>Content Files</h2>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8359ih/pdf/BILLS-116hr8359ih.pdf"">PDF</a><br/>\n <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8359ih/xml/BILLS-116hr8359ih.xml"">XML</a><br/>\n \n \n <h2>Metadata download</h2>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8359ih/mods.xml"">Descriptive Metadata (MODS)</a><br/>\n <a href=""https://www.govinfo.gov/metadata/pkg/BILLS-116hr8359ih/premis.xml"">Preservation Metadata (PREMIS)</a><br/>\n <h2>All Content and Metadata files, including granules</h2> <a href=""https://www.govinfo.gov/content/pkg/BILLS-116hr8359ih.zip"">ZIP</a>\n '"
